TOUR,6.85953268656,46.4554528826,AIG,6.96368323783,46.3168554187,24400,12206
REC,7.22741795179,47.2352383240,PON,7.25415931061,47.2388483610,17883,15991
OL,7.90769966099,47.3519347412,HBTS,7.90728858313,47.3947099257,125112,108965
GEAP,6.11198562378,46.2325385620,SJ,6.12772249048,46.2055529538,36378,18189
MX,6.91044006944,46.4358843229,TER,6.92270689880,46.4263815833,35572,17786
FRPO,7.15648597048,46.8155795950,VZ,6.96064284255,46.7205803689,43725,36120
PON,7.25415931061,47.2388483610,BI,7.24291053739,47.1328978528,17883,10175
SJ,6.12772249048,46.2055529538,VEN,6.14735976029,46.2461035651,73367,65154
REC,7.22741795179,47.2352383240,PON,7.25415931061,47.2388483610,17883,15991
MST,7.61759675648,47.5133973174,DOR,7.61111888889,47.4886198721,30621,22913
BI,7.24291053739,47.1328978528,PON,7.25415931061,47.2388483610,17883,15991
UNT,9.25501833667,47.1138568354,SCBU,8.93878098816,47.1763898659,32745,28651
MH,9.17301810587,47.1178402707,MELS,9.41775823249,47.0537462480,30626,27164
EG,7.79896644695,47.3148648270,SO,7.54268923738,47.2041925029,66367,59531
